return_id,order_id,product_id,return_date,return_reason,refund_status,category,skin_type,customer_id,sales_channel,acquisition_channel
R00001,O00011,P003,2024-03-31,Late delivery,Under Review,Serum,All Skin Types,C0492,Website,Instagram
R00002,O00023,P007,2025-05-17,Skin irritation,Replacement Sent,Serum,Oily / Combination,C0382,Mobile App,YouTube
R00003,O00032,P024,2024-07-18,Skin irritation,Refunded,Hair Care,Scalp Care,C0391,Website,Website Direct
R00004,O00062,P027,2024-04-10,Changed mind,Under Review,Body Care,Oily / Acne-Prone,C0207,Website,Google Search
R00005,O00130,P017,2024-08-26,Skin irritation,Replacement Sent,Cleanser,Sensitive / Dry,C0080,Mobile App,Google Search
R00006,O00158,P004,2024-06-11,Damaged packaging,Replacement Sent,Serum,All Skin Types,C0257,Website,Google Search
R00007,O00161,P009,2024-08-26,Late delivery,Replacement Sent,Moisturizer,Dry / Sensitive,C0277,Website,Instagram
R00008,O00163,P024,2025-08-28,Skin irritation,Under Review,Hair Care,Scalp Care,C0486,Mobile App,Instagram
R00009,O00196,P003,2024-05-02,Wrong item received,Under Review,Serum,All Skin Types,C0023,Mobile App,Instagram
R00010,O00204,P011,2024-03-04,Skin irritation,Replacement Sent,Moisturizer,Sensitive,C0377,Website,Instagram
R00011,O00214,P001,2025-08-11,Late delivery,Refunded,Serum,Oily / Acne-Prone,C0410,Website,Google Search
R00012,O00218,P012,2026-01-05,Damaged packaging,Refunded,Moisturizer,Dry,C0237,Mobile App,Instagram
R00013,O00228,P017,2025-10-27,Wrong item received,Refunded,Cleanser,Sensitive / Dry,C0462,Mobile App,YouTube
R00014,O00238,P009,2025-03-15,Wrong item received,Under Review,Moisturizer,Dry / Sensitive,C0443,Mobile App,Google Search
R00015,O00253,P017,2024-02-04,Skin irritation,Replacement Sent,Cleanser,Sensitive / Dry,C0115,Mobile App,Instagram
R00016,O00259,P002,2024-06-08,Wrong item received,Replacement Sent,Serum,Oily / Combination,C0487,Website,Google Search
R00017,O00308,P011,2025-06-29,Late delivery,Replacement Sent,Moisturizer,Sensitive,C0186,Website,Instagram
R00018,O00329,P008,2024-11-02,Skin irritation,Refunded,Serum,Normal / Mature,C0016,Mobile App,Instagram
R00019,O00343,P008,2025-07-13,Late delivery,Refunded,Serum,Normal / Mature,C0365,Website,Instagram
R00020,O00345,P002,2024-02-07,Changed mind,Replacement Sent,Serum,Oily / Combination,C0120,Mobile App,Referral
R00021,O00348,P018,2025-07-28,Late delivery,Refunded,Cleanser,Normal / Oily,C0304,Website,Referral
R00022,O00392,P003,2025-02-18,Late delivery,Under Review,Serum,All Skin Types,C0452,Website,Instagram
R00023,O00419,P004,2026-01-09,Skin irritation,Under Review,Serum,All Skin Types,C0284,Mobile App,Google Search
R00024,O00422,P009,2024-11-16,Skin irritation,Replacement Sent,Moisturizer,Dry / Sensitive,C0405,Website,YouTube
R00025,O00433,P004,2024-01-23,Changed mind,Replacement Sent,Serum,All Skin Types,C0200,Mobile App,Google Search
R00026,O00449,P014,2024-03-13,Wrong item received,Replacement Sent,Sunscreen,All Skin Types,C0420,Website,YouTube
R00027,O00451,P016,2024-11-20,Changed mind,Refunded,Cleanser,Oily / Acne-Prone,C0270,Mobile App,Instagram
R00027,O00451,P016,2024-11-20,Changed mind,Refunded,Cleanser,Oily / Acne-Prone,C0270,Mobile App,Instagram
R00028,O00456,P004,2024-10-17,Late delivery,Replacement Sent,Serum,All Skin Types,C0195,Website,Referral
R00029,O00459,P010,2024-10-31,Skin irritation,Under Review,Moisturizer,All Skin Types,C0079,Website,Website Direct
R00030,O00467,P001,2025-11-20,Skin irritation,Refunded,Serum,Oily / Acne-Prone,C0397,Website,Google Search
R00031,O00501,P027,2025-03-27,Damaged packaging,Under Review,Body Care,Oily / Acne-Prone,C0223,Mobile App,Google Search
R00032,O00513,P017,2025-07-02,Damaged packaging,Under Review,Cleanser,Sensitive / Dry,C0264,Website,Instagram
